ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F2_K092,2,92,-6.783735578848115,110.18129992212678
F2_K093,2,93,-6.801439588400693,111.54171811820898
F2_K094,2,94,-6.798366638141893,111.30438634812643
F2_K095,2,95,-6.816523849800622,112.71407335156998
F2_K096,2,96,-6.800250799049489,111.44984493189804
F2_K097,2,97,-6.779038541247974,109.82316175480332
F2_K098,2,98,-6.849379445555949,115.31044942036962
F2_K099,2,99,-6.830981046500328,113.84925546104807
F2_K100,2,100,-6.753766930184728,107.91614666832115
F3_K002,3,2,-6.2482707571133735,76.0180839481954
F3_K003,3,3,-6.1825995013289985,72.63532784263822
F3_K004,3,4,-6.157839752790116,71.39938550860315
F3_K005,3,5,-6.159163391603012,71.46492282760231
F3_K006,3,6,-6.1856626866721145,72.7897137925731
F3_K007,3,7,-6.225675062082227,74.83675313394752
F3_K008,3,8,-6.230641690527171,75.09483045149759
F3_K009,3,9,-6.2210385426348775,74.59662955656209
F3_K010,3,10,-6.19326857276095,73.17447439184987
F3_K011,3,11,-6.215601720650874,74.31603986376511
F3_K012,3,12,-6.219419841900856,74.51297923510145
F3_K013,3,13,-6.215835696704129,74.32809340473526
F3_K014,3,14,-6.27144899861016,77.24924879639985
F3_K015,3,15,-6.226687878616277,74.88930929484081
F3_K016,3,16,-6.221130914576006,74.60140593402076
F3_K017,3,17,-6.250378610790301,76.12923156161774
F3_K018,3,18,-6.218060245431534,74.44279124702902
F3_K019,3,19,-6.266091856615419,76.96293201522029
F3_K020,3,20,-6.300262008183179,78.80755341270024
F3_K021,3,21,-6.2694891582191135,77.14438019454437
F3_K022,3,22,-6.2821499398893765,77.82436202139709
F3_K023,3,23,-6.325160509939313,80.17944410109253
F3_K024,3,24,-6.29694510311382,78.62657482290346
F3_K025,3,25,-6.297860435537115,78.67647607502514
F3_K026,3,26,-6.3111846296206515,79.40646848615117
F3_K027,3,27,-6.295850383744756,78.56693547873012
F3_K028,3,28,-6.368077199657362,82.60041927896481
F3_K029,3,29,-6.371284215846724,82.78423881203649
F3_K030,3,30,-6.410652106950474,85.07433753175762
F3_K031,3,31,-6.391303970952593,83.94101313353626
F3_K032,3,32,-6.416590610317699,85.4252470791661
F3_K033,3,33,-6.420643305523351,85.66555372490095
F3_K034,3,34,-6.451165702765482,87.49724596625958
F3_K035,3,35,-6.440730536035613,86.86665240114543
F3_K036,3,36,-6.445504760755081,87.1545912035915
F3_K037,3,37,-6.472894208007935,88.82502029086636
F3_K038,3,38,-6.449460943537676,87.3939159903931
F3_K039,3,39,-6.441041732992099,86.88539201889718
F3_K040,3,40,-6.473204549520541,88.84412970449077
F3_K041,3,41,-6.4977470275218,90.36843464291047
F3_K042,3,42,-6.506608808652036,90.92523275471468
F3_K043,3,43,-6.527046404444324,92.22247022379706
F3_K044,3,44,-6.494180174736264,90.14528784900095
F3_K045,3,45,-6.495592784354321,90.23359650722637
F3_K046,3,46,-6.514133558745212,91.40071580876365
F3_K047,3,47,-6.54515907040303,93.38759830573842
F3_K048,3,48,-6.53617267657298,92.80770481965156
F3_K049,3,49,-6.582483848242495,95.83520678994314
F3_K050,3,50,-6.580701269930819,95.71686697482951
F3_K051,3,51,-6.5728598777337295,95.1980342040233
F3_K052,3,52,-6.559570492657558,94.32514401735209
F3_K053,3,53,-6.611341846710577,97.7714840863248
F3_K054,3,54,-6.643527868785876,99.9772451125434
F3_K055,3,55,-6.619101684376586,98.29878533525361
F3_K056,3,56,-6.627822425652224,98.89477712646836
F3_K057,3,57,-6.660186923709925,101.13839113026057
F3_K058,3,58,-6.615073725444601,98.02472100259324
F3_K059,3,59,-6.639758960597576,99.7164046084113
F3_K060,3,60,-6.649710977709259,100.40664755145788
F3_K061,3,61,-6.640230709767989,99.74901636743384
F3_K062,3,62,-6.653987909714431,100.70474906094279
F3_K063,3,63,-6.652520948023125,100.6024024645866
F3_K064,3,64,-6.649352275345331,100.38168619526276
F3_K065,3,65,-6.687491046403138,103.07074156921044
F3_K066,3,66,-6.673645335343918,102.086291246878
F3_K067,3,67,-6.711189035808259,104.77778333918059
F3_K068,3,68,-6.687250640146379,103.0535676093376
F3_K069,3,69,-6.700693736470892,104.01831310943396
F3_K070,3,70,-6.719624659444677,105.39222714285623
F3_K071,3,71,-6.738808605211111,106.80301805141288
F3_K072,3,72,-6.764489476469169,108.7212001339941
F3_K073,3,73,-6.705185727232473,104.34269037561343
F3_K074,3,74,-6.731519110711602,106.26473626807606
F3_K075,3,75,-6.728152035211278,106.01701642986617
F3_K076,3,76,-6.770337048544992,109.16276623670784
F3_K077,3,77,-6.772538737026678,109.32948607987164
F3_K078,3,78,-6.7934113467547865,110.92273982876475
F3_K079,3,79,-6.741904079700335,107.03242270001772
F3_K080,3,80,-6.767435436315417,108.94343388082575
F3_K081,3,81,-6.775429638409822,109.54878234806415
F3_K082,3,82,-6.796203997048709,111.13766288516048
F3_K083,3,83,-6.794956662624747,111.04161630632406
