ExperimentID,Fold,Topics,MeanLogPerplexity,PerplexityTest,AbsLogPerplexity,NAP
F3_K036,3,36,-9.984911591149901,1013.3463160543956,9.984911591149901,0.7486580823551102
F3_K037,3,37,-10.003265207464045,1026.3202124544346,10.003265207464045,0.7500342170427932
F3_K038,3,38,-10.026075533442837,1042.6762332709147,10.026075533442837,0.7517445110949021
F3_K039,3,39,-10.096858285012061,1095.1086409071943,10.096858285012061,0.7570517267442227
F3_K040,3,40,-10.165636113857387,1148.580384937677,10.165636113857387,0.7622086154138759
F3_K041,3,41,-10.283416793957473,1246.2836940435127,10.283416793957473,0.7710396859043114
F3_K042,3,42,-10.42333254220784,1373.206182279173,10.42333254220784,0.7815304203309681
F3_K043,3,43,-10.463637676301246,1412.1108967289028,10.463637676301246,0.7845524565427039
F3_K044,3,44,-10.429348981509222,1378.9447912068288,10.429348981509222,0.7819815265695022
F3_K045,3,45,-10.474361033025462,1422.6460302610142,10.474361033025462,0.7853564824580336
F3_K046,3,46,-10.610699094382628,1563.646951113616,10.610699094382628,0.7955789657154858
F3_K047,3,47,-10.684922017566155,1646.197844204265,10.684922017566155,0.8011441217842308
F3_K048,3,48,-10.802862128730727,1786.4280931143614,10.802862128730727,0.8099871462468087
F3_K049,3,49,-10.839548201468697,1832.4374040251519,10.839548201468697,0.812737829076038
F3_K050,3,50,-10.924364172103274,1943.3959769681844,10.924364172103274,0.8190972406090006
F3_K051,3,51,-11.051925009108148,2123.0534962827696,11.051925009108148,0.8286616168925449
F3_K052,3,52,-10.967629532976048,2002.5596939445225,10.967629532976048,0.8223412314854067
F3_K053,3,53,-11.152051046074885,2275.6311922518844,11.152051046074885,0.8361689609631499
F3_K054,3,54,-11.259707212662718,2451.9387285504895,11.259707212662718,0.8442409061672304
F3_K055,3,55,-11.284129189758232,2493.798509687144,11.284129189758232,0.8460720401109554
F3_K056,3,56,-11.34135846301417,2594.711573366976,11.34135846301417,0.850363030329471
F3_K057,3,57,-11.568268229197425,3036.6569658788994,11.568268229197425,0.8673764839657528
F3_K058,3,58,-11.384231329178832,2672.9762973406387,11.384231329178832,0.8535775923688937
F3_K059,3,59,-11.485055956939231,2866.4630303492336,11.485055956939231,0.8611373160363694
F3_K060,3,60,-11.484994245959658,2866.3404206130886,11.484994245959658,0.861132689012564
F3_K061,3,61,-11.656494403829669,3228.1555992814283,11.656494403829669,0.8739915889780242
F3_K062,3,62,-11.595659887382944,3094.8631190780206,11.595659887382944,0.8694302814483338
F3_K063,3,63,-11.66972832734471,3257.903886630382,11.66972832734471,0.8749838545289368
F3_K064,3,64,-11.572085621816203,3044.702645350079,11.572085621816203,0.8676627080160593
F3_K065,3,65,-11.703856541271364,3335.8912474443778,11.703856541271364,0.8775427518170389
F3_K066,3,66,-11.7820335114249,3521.644368688167,11.7820335114249,0.8834043781344272
F3_K067,3,67,-11.918944029578425,3872.2168417794865,11.918944029578425,0.8936697835953941
F3_K068,3,68,-12.10320819958602,4399.75721191218,12.10320819958602,0.9074857156550143
F3_K069,3,69,-12.015718521833634,4140.87093642205,12.015718521833634,0.9009258323977581
F3_K070,3,70,-11.995848087122804,4084.2291218083265,11.995848087122804,0.8994359682752398
F3_K071,3,71,-12.191426873850887,4677.191793141039,12.191426873850887,0.9141002582976938
F3_K072,3,72,-12.132800973931698,4490.9376397002625,12.132800973931698,0.9097045504930553
F3_K073,3,73,-12.246908761983407,4860.566524575859,12.246908761983407,0.9182602314327138
F3_K074,3,74,-12.303558124549532,5055.219864081791,12.303558124549532,0.922507740562688
F3_K075,3,75,-12.206782124205606,4727.2391086239095,12.206782124205606,0.9152515786854313
F3_K076,3,76,-12.232760800637177,4813.133755719423,12.232760800637177,0.917199432294533
F3_K077,3,77,-12.383032794206878,5341.513229308882,12.383032794206878,0.928466667012694
F3_K078,3,78,-12.624931279653692,6316.59465336648,12.624931279653692,0.9466039589241952
F3_K079,3,79,-12.460417989135111,5635.851914630044,12.460417989135111,0.9342689268633468
F3_K080,3,80,-12.434792160679368,5536.629089905827,12.434792160679368,0.9323475294212862
F3_K081,3,81,-12.740877352205619,6845.201771798717,12.740877352205619,0.9552974724862252
F3_K082,3,82,-12.712069086562826,6709.869937764404,12.712069086562826,0.9531374592787746
F3_K083,3,83,-12.648847092228038,6422.178692467103,12.648847092228038,0.9483971411888978
F3_K084,3,84,-12.655245589255,6450.724954276928,12.655245589255,0.9488768937105332
F3_K085,3,85,-12.775866483161302,7013.245343413203,12.775866483161302,0.957920920420183
F3_K086,3,86,-12.599285357766705,6205.30048543972,12.599285357766705,0.9446810548979684
F3_K087,3,87,-12.76918374901951,6980.834284994738,12.76918374901951,0.957419856101104
F3_K088,3,88,-12.7581933459433,6927.856567892985,12.7581933459433,0.9565958073334977
F3_K089,3,89,-12.87919598265235,7533.9773603825815,12.87919598265235,0.9656684567136689
F3_K090,3,90,-12.931981363884507,7814.735690031172,12.931981363884507,0.9696262486208778
F3_K091,3,91,-12.768329887482414,6976.7038886485425,12.768329887482414,0.9573558344685514
F3_K092,3,92,-12.795621988314107,7109.941569644921,12.795621988314107,0.9594021672463205
F3_K093,3,93,-12.983230939488706,8097.332134247024,12.983230939488706,0.973468887450786
F3_K094,3,94,-13.13679708289628,9006.7885885012,13.13679708289628,0.984983114030427
F3_K095,3,95,-13.11286527771439,8858.613985441456,13.11286527771439,0.9831887326569704
F3_K096,3,96,-13.149208155223423,9084.605524770048,13.149208155223423,0.9859136830718841
F3_K097,3,97,-13.219478203746567,9538.047180238229,13.219478203746567,0.9911824567905183
F3_K098,3,98,-13.178213010732383,9269.096540212342,13.178213010732383,0.9880884363790212
F3_K099,3,99,-13.18504526119421,9313.09681687154,13.18504526119421,0.988600711273218
F3_K100,3,100,-13.337078469439094,10348.101355974766,13.337078469439094,1.0
F4_K002,4,2,-6.655874233843346,100.8365066634539,6.655874233843346,0.4717919522098561
F4_K003,4,3,-6.809831098425417,112.19239678613651,6.809831098425417,0.4827049603505374
F4_K004,4,4,-6.872786538937376,117.19657018185893,6.872786538937376,0.48716746507010417
F4_K005,4,5,-7.066039884757531,133.9954204799031,7.066039884757531,0.5008659470564336
F4_K006,4,6,-7.174331349743544,144.44048402911733,7.174331349743544,0.5085420298486282
F4_K007,4,7,-7.342287649783485,162.27395436623107,7.342287649783485,0.5204473675845595
F4_K008,4,8,-7.529896953970266,184.8097363232128,7.529896953970266,0.5337457798990458
F4_K009,4,9,-7.629518837867862,198.02226453060504,7.629518837867862,0.540807332061177
F4_K010,4,10,-7.731877750955939,212.5823119059207,7.731877750955939,0.5480628945515784
F4_K011,4,11,-7.882410164268057,235.96190709413898,7.882410164268057,0.5587331654509694
F4_K012,4,12,-7.993805967166186,254.90325170419217,7.993805967166186,0.5666292947152607
F4_K013,4,13,-8.173970563974404,288.80873442027246,8.173970563974404,0.5793999997888403
F4_K014,4,14,-8.234615227137748,301.2077806268418,8.234615227137748,0.5836987084212031
F4_K015,4,15,-8.382606523576444,333.74595091815036,8.382606523576444,0.5941888559516143
F4_K016,4,16,-8.485156628743285,358.33288252494407,8.485156628743285,0.6014579708140886
F4_K017,4,17,-8.583470314262557,383.6030322709377,8.583470314262557,0.6084267932392833
