ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F1_K065,1,65,-3.982826518939103,0.4419083968781661,-4.924550112040171,-0.11977045232993627
F1_K066,1,66,-4.835511142366363,0.4241892812460372,-5.670399826014183,-0.15004326587297756
F1_K067,1,67,-4.291052856942367,0.43569255495444986,-5.131985884920886,-0.12424992900771165
F1_K068,1,68,-4.330981107368858,0.44139571095413893,-5.167878080217027,-0.12596017609483026
F1_K069,1,69,-4.912323596401523,0.448337863889768,-5.768045910416911,-0.15258024025849953
F1_K070,1,70,-4.193783813377882,0.43196347747756303,-5.14152174597493,-0.1252499712045246
F1_K071,1,71,-4.310797616236009,0.4516112800225057,-5.135730902557807,-0.12391022273362769
F1_K072,1,72,-4.199590262058305,0.45074630788405773,-5.472857279870545,-0.13831594824158452
F1_K073,1,73,-4.878636873349071,0.4143344115343732,-5.902100852937621,-0.1593978276551735
F1_K074,1,74,-3.9065656965863034,0.41964596764236,-4.995044687245825,-0.12015200854962176
F1_K075,1,75,-4.478567139162026,0.43230599002784886,-5.505427891443701,-0.14673865788989565
F1_K076,1,76,-4.390234349031353,0.4340226471205108,-5.294487650979815,-0.131654359785218
F1_K077,1,77,-4.2221546958497775,0.4287205529252893,-5.401682682861286,-0.13673824808349822
F1_K078,1,78,-4.47060579601597,0.4412502091633652,-5.445728155821861,-0.13741377815224098
F1_K079,1,79,-4.715358463951377,0.43676229977249126,-5.6759121880318055,-0.1478427571453908
F1_K080,1,80,-3.635805880074263,0.4408849380061562,-4.8358389029020525,-0.1145616062717281
F1_K081,1,81,-4.427382877599556,0.46104662565287635,-5.4820169484221495,-0.13807917605296502
F1_K082,1,82,-4.732289067504676,0.42240253110825393,-5.690732388848968,-0.1487822047978871
F1_K083,1,83,-4.246325109647984,0.45852190615859695,-5.531743891400435,-0.1407944004045547
F1_K084,1,84,-4.236838615990041,0.42274249953006227,-5.333691227140393,-0.13360496715278808
F1_K085,1,85,-4.032619110875484,0.44690381012561187,-5.166081386569836,-0.1240435349419147
F1_K086,1,86,-4.938431692898092,0.4287510248036813,-5.890835768031754,-0.15761346405541382
F1_K087,1,87,-4.841088812169383,0.4202705475320345,-5.678194930325117,-0.14705651385386978
F1_K088,1,88,-4.783518483762722,0.43238191487973404,-5.658470048652264,-0.1467743551751323
F1_K089,1,89,-4.2776534534111725,0.46070877333498605,-5.2928238479105305,-0.1310138527058644
F1_K090,1,90,-4.212741117972409,0.4459070736826525,-5.370628554080556,-0.13502194907667914
F1_K091,1,91,-4.210026031064164,0.43931816621337944,-5.446967889758541,-0.13804176779616648
F1_K092,1,92,-4.065004957100052,0.43861396556765403,-5.17252165390621,-0.12660576806251544
